1	605	5 
1	336	4 
1	341	0 
1	803	1 
1	679	2 
1	152	5 
1	743	4 
2	851	0 
2	504	4 
2	775	0 
2	877	1 
2	71	0 
2	745	1 
2	770	5 
2	495	3 
3	206	2 
3	284	4 
3	724	4 
3	87	4 
3	317	2 
3	416	2 
4	499	0 
4	195	4 
4	113	0 
4	721	4 
4	542	3 
4	160	3 
4	874	4 
5	646	3 
5	638	0 
5	890	0 
5	632	2 
5	129	1 
5	460	0 
6	144	3 
6	210	0 
6	796	5 
6	670	2 
6	352	3 
6	475	3 
6	565	1 
6	561	5 
6	754	1 
6	67	3 
6	126	2 
6	320	0 
6	591	3 
7	492	3 
7	661	2 
7	798	4 
7	900	3 
7	730	0 
8	396	5 
8	868	5 
8	268	3 
8	155	5 
8	765	0 
8	24	1 
8	639	3 
9	378	0 
9	518	0 
9	648	2 
10	503	4 
10	253	2 
10	651	2 
10	328	3 
10	215	0 
10	328	4 
10	817	2 
10	879	1 
11	763	2 
11	228	1 
11	183	1 
12	23	4 
12	886	1 
12	175	4 
12	339	1 
12	194	3 
12	749	2 
12	400	5 
13	509	4 
13	610	3 
13	414	0 
13	161	4 
13	399	5 
14	709	5 
14	699	4 
14	20	5 
14	765	3 
14	297	4 
14	4	0 
14	92	1 
14	501	0 
14	139	1 
14	683	1 
14	314	3 
15	830	2 
15	904	3 
15	712	5 
15	887	3 
15	725	2 
15	653	1 
15	621	1 
15	189	0 
15	613	3 
15	897	2 
15	752	0 
16	558	0 
16	145	4 
16	691	4 
16	479	4 
16	596	2 
16	504	5 
16	651	0 
16	816	3 
17	202	4 
17	324	1 
17	483	2 
17	357	4 
17	719	2 
17	613	1 
18	209	4 
18	793	2 
18	686	3 
18	146	5 
18	324	1 
18	1	0 
18	840	4 
19	518	0 
19	655	1 
19	418	5 
20	416	0 
21	191	4 
21	84	0 
21	640	3 
21	62	3 
21	112	1 
22	757	1 
22	217	1 
22	31	0 
22	135	5 
22	60	5 
22	477	4 
22	5	4 
22	413	4 
22	314	2 
22	547	0 
23	486	3 
23	4	2 
23	719	3 
23	671	5 
23	832	2 
23	877	1 
23	456	4 
23	517	2 
23	65	5 
23	641	1 
23	141	0 
24	564	1 
24	692	2 
24	487	3 
24	730	5 
24	630	2 
24	351	4 
25	83	2 
25	922	2 
25	844	0 
25	657	0 
25	489	5 
25	567	1 
25	851	4 
26	678	0 
26	30	2 
26	375	5 
26	86	3 
26	912	0 
26	284	1 
26	42	4 
26	210	4 
26	426	0 
26	265	1 
26	197	3 
27	253	1 
27	511	1 
27	50	5 
28	606	1 
28	844	4 
28	82	5 
28	32	3 
29	302	1 
30	581	0 
30	144	4 
30	653	5 
30	14	5 
31	474	4 
31	772	3 
31	25	3 
31	500	0 
31	55	3 
31	670	0 
31	545	0 
31	42	3 
32	564	0 
32	373	4 
32	146	2 
32	138	4 
33	773	3 
33	532	4 
33	101	4 
33	46	5 
34	603	2 
35	762	2 
35	71	4 
35	72	2 
36	143	3 
36	863	3 
36	715	4 
36	259	4 
36	540	2 
36	13	2 
36	21	4 
37	708	3 
37	273	0 
37	821	1 
37	434	1 
37	413	2 
37	217	5 
37	370	3 
38	754	5 
38	823	3 
38	460	1 
38	781	4 
38	646	1 
38	265	2 
38	68	3 
